Name,Location,Price,Ratings,Reviews,Reviews Score
Tatvam Residency,Kolkata,2650,Very Good,Very Good,33
Super Collection O Church View Near St. Thomas's Church,Kolkata,1390,Review score,Review score,38
"Aristocratic 3BHK apartment near Eastern Metropolitan Club, Santoshpur",Kolkata,5265,Exceptional,Exceptional,3
"BluO Lake Facing 1BHK NewTown, Terrace Garden, Gym","New Town, Kolkata",4445,No Reviews,No Reviews,Not Available
"BluO 1BHK Salt Lake - Kitchen, Balcony, Parking ,Terrace","Salt Lake, Kolkata",3889,Wonderful,Wonderful,3
Aleyahome stay,Kolkata,1100,Very Good,Very Good,6
Hotel Gateway Continental,Kolkata,3849,Very Good,Very Good,22
FabExpress Karunamoyee Regency,"Salt Lake, Kolkata",2047,Good,Good,13
Kiaan Inn,Kolkata,2200,Review score,Review score,64
Pallavi International,"Park Street, Kolkata",3040,Review score,Review score,54
Venus Homestay,Kolkata,765,Wonderful,Wonderful,13
Jams Guest House,Kolkata,1200,No Reviews,No Reviews,Not Available
Hotel Saad,Kolkata,2750,No Reviews,No Reviews,Not Available
Hotel O Sashi Guest House,"Salt Lake, Kolkata",1412,Review score,Review score,13
Yellowbrick - Calcutta's Freshest BnB,Kolkata,2250,No Reviews,No Reviews,Not Available
Hotel Executive Tower,Kolkata,4836,Good,Good,35
The Salvation Army RED SHIELD GUEST HOUSE,Kolkata,2599,Review score,Review score,79
Paradise Guest House,Kolkata,1600,No Reviews,No Reviews,Not Available
Upahar Homestay,Kolkata,5399,Review score,Review score,1
CHURCH PALACE,Kolkata,2199,No Reviews,No Reviews,Not Available
Hotel UCS,Kolkata,1440,No Reviews,No Reviews,Not Available
HOTEL SHREESH KOLKATA,Kolkata,2880,Good,Good,1
Simna Guest House,Kolkata,1020,No Reviews,No Reviews,Not Available
Spacious Gem at Central Calcutta,Kolkata,1102,Review score,Review score,1
RR Guest House,Kolkata,1400,Very Good,Very Good,6
Townhouse Hotel Lovelock,"Ballygunge, Kolkata",2190,Review score,Review score,2
Hotel O THE S R INN,Kolkata,701,Review score,Review score,2
Dear hotel,Kolkata,900,Review score,Review score,4
"BluO Studio Salt Lake City - Balcony, Terrace Garden","Salt Lake, Kolkata",3380,Very Good,Very Good,1
Aura hotel,Kolkata,3400,Review score,Review score,17
SPOT ON Hotel O Snenanjali,Kolkata,888,No Reviews,No Reviews,Not Available
Blue Chip,"Ballygunge, Kolkata",2800,Very Good,Very Good,19
swaran stay guest house *****,Kolkata,510,Review score,Review score,3
Sheldon Inn Kolkata,Kolkata,2500,Good,Good,21
Hotel Avisha,Kolkata,2200,Excellent,Excellent,7
HOTEL O DISHAN PLAZA,"New Town, Kolkata",974,Review score,Review score,2
